question_id,structure_cluster,topic_name,model,is_correct
24,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
24,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
24,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,False
25,Фамилия_Имя,Шум,gemma-3,False
25,Фамилия_Имя,Шум,QwQ,False
25,Фамилия_Имя,Шум,Phi-4,False
25,Фамилия_Имя,Шум,Llama-4,False
25,Фамилия_Имя,Шум,Qwen3,False
25,Фамилия_Имя,Шум,DeepSeek-R1,False
25,Фамилия_Имя,Шум,DeepSeek-V3,False
26,Ответ из N слов,Шум,gemma-3,False
26,Ответ из N слов,Шум,QwQ,False
26,Ответ из N слов,Шум,Phi-4,False
26,Ответ из N слов,Шум,Llama-4,False
26,Ответ из N слов,Шум,Qwen3,False
26,Ответ из N слов,Шум,DeepSeek-R1,False
26,Ответ из N слов,Шум,DeepSeek-V3,False
27,Пропуск,Религии и традиции,gemma-3,False
27,Пропуск,Религии и традиции,QwQ,False
27,Пропуск,Религии и традиции,Phi-4,False
27,Пропуск,Религии и традиции,Llama-4,False
27,Пропуск,Религии и традиции,Qwen3,False
27,Пропуск,Религии и традиции,DeepSeek-R1,True
27,Пропуск,Религии и традиции,DeepSeek-V3,True
28,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
28,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
28,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
28,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
28,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
28,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
28,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,True
36,Другое,Языки и загадки,gemma-3,False
36,Другое,Языки и загадки,QwQ,True
36,Другое,Языки и загадки,Phi-4,False
36,Другое,Языки и загадки,Llama-4,True
36,Другое,Языки и загадки,Qwen3,False
36,Другое,Языки и загадки,DeepSeek-R1,True
36,Другое,Языки и загадки,DeepSeek-V3,True
37,Другое,Наука и природа,gemma-3,False
37,Другое,Наука и природа,QwQ,False
37,Другое,Наука и природа,Phi-4,False
37,Другое,Наука и природа,Llama-4,True
37,Другое,Наука и природа,Qwen3,False
37,Другое,Наука и природа,DeepSeek-R1,False
37,Другое,Наука и природа,DeepSeek-V3,False
38,Другое,Литература,gemma-3,False
38,Другое,Литература,QwQ,False
38,Другое,Литература,Phi-4,False
38,Другое,Литература,Llama-4,False
38,Другое,Литература,Qwen3,False
38,Другое,Литература,DeepSeek-R1,True
38,Другое,Литература,DeepSeek-V3,True
39,Ответ из N слов,Шум,gemma-3,True
39,Ответ из N слов,Шум,QwQ,False
39,Ответ из N слов,Шум,Phi-4,False
39,Ответ из N слов,Шум,Llama-4,False
39,Ответ из N слов,Шум,Qwen3,True
39,Ответ из N слов,Шум,DeepSeek-R1,True
39,Ответ из N слов,Шум,DeepSeek-V3,True
40,Пропуск,Наука и природа,gemma-3,False
40,Пропуск,Наука и природа,QwQ,False
40,Пропуск,Наука и природа,Phi-4,False
40,Пропуск,Наука и природа,Llama-4,False
40,Пропуск,Наука и природа,Qwen3,False
40,Пропуск,Наука и природа,DeepSeek-R1,False
40,Пропуск,Наука и природа,DeepSeek-V3,True
41,Замена ОН_ОНА_ОНИ,Наука и природа,gemma-3,False
41,Замена ОН_ОНА_ОНИ,Наука и природа,QwQ,False
41,Замена ОН_ОНА_ОНИ,Наука и природа,Phi-4,False
41,Замена ОН_ОНА_ОНИ,Наука и природа,Llama-4,False
41,Замена ОН_ОНА_ОНИ,Наука и природа,Qwen3,False
41,Замена ОН_ОНА_ОНИ,Наука и природа,DeepSeek-R1,False
41,Замена ОН_ОНА_ОНИ,Наука и природа,DeepSeek-V3,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",gemma-3,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",QwQ,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",Phi-4,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",Llama-4,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",Qwen3,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",DeepSeek-R1,False
42,Замена ОН_ОНА_ОНИ,"История, войны и правители",DeepSeek-V3,False
259,Ответ из N слов,Шум,gemma-3,False
259,Ответ из N слов,Шум,QwQ,False
259,Ответ из N слов,Шум,Phi-4,False
259,Ответ из N слов,Шум,Llama-4,False
259,Ответ из N слов,Шум,Qwen3,False
259,Ответ из N слов,Шум,DeepSeek-R1,False
259,Ответ из N слов,Шум,DeepSeek-V3,False
260,Ответ из N слов,Спорт и игры,gemma-3,False
260,Ответ из N слов,Спорт и игры,QwQ,False
260,Ответ из N слов,Спорт и игры,Phi-4,False
260,Ответ из N слов,Спорт и игры,Llama-4,False
260,Ответ из N слов,Спорт и игры,Qwen3,False
260,Ответ из N слов,Спорт и игры,DeepSeek-R1,False
260,Ответ из N слов,Спорт и игры,DeepSeek-V3,False
261,Другое,Шум,gemma-3,False
261,Другое,Шум,QwQ,False
261,Другое,Шум,Phi-4,False
261,Другое,Шум,Llama-4,False
261,Другое,Шум,Qwen3,False
261,Другое,Шум,DeepSeek-R1,False
261,Другое,Шум,DeepSeek-V3,False
262,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
262,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
262,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
262,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
262,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
262,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
262,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,False
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,gemma-3,False
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,QwQ,False
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,Phi-4,False
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,Llama-4,False
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,Qwen3,False
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,DeepSeek-R1,True
263,Замена ОН_ОНА_ОНИ,Произведения и персонажи,DeepSeek-V3,True
264,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
264,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
264,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
264,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
264,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
264,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
264,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,True
265,Другое,Шум,gemma-3,False
265,Другое,Шум,QwQ,False
265,Другое,Шум,Phi-4,False
265,Другое,Шум,Llama-4,True
265,Другое,Шум,Qwen3,False
265,Другое,Шум,DeepSeek-R1,True
265,Другое,Шум,DeepSeek-V3,True
266,Другое,Шум,gemma-3,False
266,Другое,Шум,QwQ,False
266,Другое,Шум,Phi-4,False
266,Другое,Шум,Llama-4,False
266,Другое,Шум,Qwen3,False
266,Другое,Шум,DeepSeek-R1,False
266,Другое,Шум,DeepSeek-V3,False
267,Замена ИКС_ИГРЕК,Шум,gemma-3,False
267,Замена ИКС_ИГРЕК,Шум,QwQ,False
267,Замена ИКС_ИГРЕК,Шум,Phi-4,False
267,Замена ИКС_ИГРЕК,Шум,Llama-4,False
267,Замена ИКС_ИГРЕК,Шум,Qwen3,False
267,Замена ИКС_ИГРЕК,Шум,DeepSeek-R1,True
267,Замена ИКС_ИГРЕК,Шум,DeepSeek-V3,False
269,Ответ из N слов,Музыка,gemma-3,False
269,Ответ из N слов,Музыка,QwQ,False
269,Ответ из N слов,Музыка,Phi-4,False
269,Ответ из N слов,Музыка,Llama-4,False
269,Ответ из N слов,Музыка,Qwen3,False
269,Ответ из N слов,Музыка,DeepSeek-R1,False
269,Ответ из N слов,Музыка,DeepSeek-V3,False
270,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
270,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
270,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
270,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
270,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
270,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,False
270,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,False
271,Другое,Шум,gemma-3,True
271,Другое,Шум,QwQ,True
271,Другое,Шум,Phi-4,False
271,Другое,Шум,Llama-4,True
271,Другое,Шум,Qwen3,True
271,Другое,Шум,DeepSeek-R1,False
271,Другое,Шум,DeepSeek-V3,False
272,Другое,Шум,gemma-3,False
272,Другое,Шум,QwQ,False
272,Другое,Шум,Phi-4,False
272,Другое,Шум,Llama-4,False
272,Другое,Шум,Qwen3,False
272,Другое,Шум,DeepSeek-R1,False
272,Другое,Шум,DeepSeek-V3,False
273,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
273,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
273,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
273,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
273,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
273,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
273,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,True
274,Другое,Произведения и персонажи,gemma-3,False
274,Другое,Произведения и персонажи,QwQ,False
274,Другое,Произведения и персонажи,Phi-4,False
274,Другое,Произведения и персонажи,Llama-4,False
274,Другое,Произведения и персонажи,Qwen3,False
274,Другое,Произведения и персонажи,DeepSeek-R1,False
274,Другое,Произведения и персонажи,DeepSeek-V3,False
275,Ответ из N слов,Шум,gemma-3,False
275,Ответ из N слов,Шум,QwQ,False
275,Ответ из N слов,Шум,Phi-4,False
275,Ответ из N слов,Шум,Llama-4,False
275,Ответ из N слов,Шум,Qwen3,False
275,Ответ из N слов,Шум,DeepSeek-R1,False
275,Ответ из N слов,Шум,DeepSeek-V3,False
276,Другое,Шум,gemma-3,True
276,Другое,Шум,QwQ,False
276,Другое,Шум,Phi-4,False
276,Другое,Шум,Llama-4,False
276,Другое,Шум,Qwen3,False
276,Другое,Шум,DeepSeek-R1,True
276,Другое,Шум,DeepSeek-V3,False
277,Другое,Шум,gemma-3,False
277,Другое,Шум,QwQ,False
277,Другое,Шум,Phi-4,False
277,Другое,Шум,Llama-4,False
277,Другое,Шум,Qwen3,False
277,Другое,Шум,DeepSeek-R1,True
277,Другое,Шум,DeepSeek-V3,True
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,gemma-3,False
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,QwQ,False
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,Phi-4,False
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,Llama-4,False
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,Qwen3,False
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,DeepSeek-R1,True
279,Замена ПЕРВЫЙ_ВТОРОЙ,Шум,DeepSeek-V3,True
280,Другое,Спорт и игры,gemma-3,False
280,Другое,Спорт и игры,QwQ,False
280,Другое,Спорт и игры,Phi-4,False
280,Другое,Спорт и игры,Llama-4,False
280,Другое,Спорт и игры,Qwen3,False
280,Другое,Спорт и игры,DeepSeek-R1,False
280,Другое,Спорт и игры,DeepSeek-V3,False
281,Другое,Спорт и игры,gemma-3,False
281,Другое,Спорт и игры,QwQ,False
281,Другое,Спорт и игры,Phi-4,False
281,Другое,Спорт и игры,Llama-4,True
281,Другое,Спорт и игры,Qwen3,False
281,Другое,Спорт и игры,DeepSeek-R1,False
281,Другое,Спорт и игры,DeepSeek-V3,False
282,Другое,"Кино, сериалы и актеры",gemma-3,True
282,Другое,"Кино, сериалы и актеры",QwQ,True
282,Другое,"Кино, сериалы и актеры",Phi-4,False
282,Другое,"Кино, сериалы и актеры",Llama-4,True
282,Другое,"Кино, сериалы и актеры",Qwen3,False
282,Другое,"Кино, сериалы и актеры",DeepSeek-R1,True
282,Другое,"Кино, сериалы и актеры",DeepSeek-V3,True
283,Замена ОН_ОНА_ОНИ,Медицина,gemma-3,False
283,Замена ОН_ОНА_ОНИ,Медицина,QwQ,False
283,Замена ОН_ОНА_ОНИ,Медицина,Phi-4,False
283,Замена ОН_ОНА_ОНИ,Медицина,Llama-4,False
283,Замена ОН_ОНА_ОНИ,Медицина,Qwen3,False
283,Замена ОН_ОНА_ОНИ,Медицина,DeepSeek-R1,False
283,Замена ОН_ОНА_ОНИ,Медицина,DeepSeek-V3,True
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",gemma-3,False
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",QwQ,False
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",Phi-4,False
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",Llama-4,True
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",Qwen3,False
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",DeepSeek-R1,False
284,Замена ИКС_ИГРЕК,"Кино, сериалы и актеры",DeepSeek-V3,True
285,Замена слова,Шум,gemma-3,False
285,Замена слова,Шум,QwQ,False
285,Замена слова,Шум,Phi-4,False
285,Замена слова,Шум,Llama-4,False
285,Замена слова,Шум,Qwen3,False
285,Замена слова,Шум,DeepSeek-R1,False
285,Замена слова,Шум,DeepSeek-V3,False
286,Замена слова,Шум,gemma-3,False
286,Замена слова,Шум,QwQ,False
286,Замена слова,Шум,Phi-4,False
286,Замена слова,Шум,Llama-4,False
286,Замена слова,Шум,Qwen3,False
286,Замена слова,Шум,DeepSeek-R1,False
286,Замена слова,Шум,DeepSeek-V3,False
287,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
287,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
287,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
287,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
287,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
287,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,False
287,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,False
288,Замена ОН_ОНА_ОНИ,Еда и напитки,gemma-3,False
288,Замена ОН_ОНА_ОНИ,Еда и напитки,QwQ,False
288,Замена ОН_ОНА_ОНИ,Еда и напитки,Phi-4,False
288,Замена ОН_ОНА_ОНИ,Еда и напитки,Llama-4,False
288,Замена ОН_ОНА_ОНИ,Еда и напитки,Qwen3,False
288,Замена ОН_ОНА_ОНИ,Еда и напитки,DeepSeek-R1,True
288,Замена ОН_ОНА_ОНИ,Еда и напитки,DeepSeek-V3,True
289,Другое,Шум,gemma-3,False
289,Другое,Шум,QwQ,False
289,Другое,Шум,Phi-4,False
289,Другое,Шум,Llama-4,False
289,Другое,Шум,Qwen3,False
289,Другое,Шум,DeepSeek-R1,False
289,Другое,Шум,DeepSeek-V3,False
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",gemma-3,False
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",QwQ,False
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",Phi-4,False
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",Llama-4,False
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",Qwen3,False
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",DeepSeek-R1,True
290,Замена ОН_ОНА_ОНИ,"Кино, сериалы и актеры",DeepSeek-V3,True
291,Другое,Произведения и персонажи,gemma-3,False
291,Другое,Произведения и персонажи,QwQ,False
291,Другое,Произведения и персонажи,Phi-4,False
291,Другое,Произведения и персонажи,Llama-4,False
291,Другое,Произведения и персонажи,Qwen3,False
291,Другое,Произведения и персонажи,DeepSeek-R1,False
291,Другое,Произведения и персонажи,DeepSeek-V3,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,gemma-3,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,QwQ,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,Phi-4,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,Llama-4,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,Qwen3,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,DeepSeek-R1,False
292,Замена ИКС_ИГРЕК,Произведения и персонажи,DeepSeek-V3,False
293,Замена слова,Литература,gemma-3,False
293,Замена слова,Литература,QwQ,False
293,Замена слова,Литература,Phi-4,False
293,Замена слова,Литература,Llama-4,False
293,Замена слова,Литература,Qwen3,False
293,Замена слова,Литература,DeepSeek-R1,False
293,Замена слова,Литература,DeepSeek-V3,False
295,Ответ из N слов,Наука и природа,gemma-3,False
295,Ответ из N слов,Наука и природа,QwQ,False
295,Ответ из N слов,Наука и природа,Phi-4,False
295,Ответ из N слов,Наука и природа,Llama-4,False
295,Ответ из N слов,Наука и природа,Qwen3,False
295,Ответ из N слов,Наука и природа,DeepSeek-R1,False
295,Ответ из N слов,Наука и природа,DeepSeek-V3,False
296,Другое,Шум,gemma-3,False
296,Другое,Шум,QwQ,True
296,Другое,Шум,Phi-4,False
296,Другое,Шум,Llama-4,False
296,Другое,Шум,Qwen3,False
296,Другое,Шум,DeepSeek-R1,True
296,Другое,Шум,DeepSeek-V3,True
297,Ответ из N слов,"История, войны и правители",gemma-3,False
297,Ответ из N слов,"История, войны и правители",QwQ,False
297,Ответ из N слов,"История, войны и правители",Phi-4,False
297,Ответ из N слов,"История, войны и правители",Llama-4,False
297,Ответ из N слов,"История, войны и правители",Qwen3,False
297,Ответ из N слов,"История, войны и правители",DeepSeek-R1,False
297,Ответ из N слов,"История, войны и правители",DeepSeek-V3,False
298,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
298,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
298,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
298,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
298,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
298,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
298,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,True
299,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
299,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
299,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
299,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
299,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
299,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,False
299,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,False
300,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
300,Замена ОН_ОНА_ОНИ,Шум,QwQ,True
300,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
300,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
300,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
300,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,False
300,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,False
301,Замена ОН_ОНА_ОНИ,Люди и события,gemma-3,True
301,Замена ОН_ОНА_ОНИ,Люди и события,QwQ,False
301,Замена ОН_ОНА_ОНИ,Люди и события,Phi-4,False
301,Замена ОН_ОНА_ОНИ,Люди и события,Llama-4,False
301,Замена ОН_ОНА_ОНИ,Люди и события,Qwen3,False
301,Замена ОН_ОНА_ОНИ,Люди и события,DeepSeek-R1,False
301,Замена ОН_ОНА_ОНИ,Люди и события,DeepSeek-V3,True
302,Ответ из N слов,Шум,gemma-3,False
302,Ответ из N слов,Шум,QwQ,False
302,Ответ из N слов,Шум,Phi-4,False
302,Ответ из N слов,Шум,Llama-4,False
302,Ответ из N слов,Шум,Qwen3,False
302,Ответ из N слов,Шум,DeepSeek-R1,False
302,Ответ из N слов,Шум,DeepSeek-V3,False
303,Другое,Шум,gemma-3,False
303,Другое,Шум,QwQ,False
303,Другое,Шум,Phi-4,False
303,Другое,Шум,Llama-4,False
303,Другое,Шум,Qwen3,False
303,Другое,Шум,DeepSeek-R1,True
303,Другое,Шум,DeepSeek-V3,False
